Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2364.0,18.0,277.0,2364.0,0.1,171.38480000000047,0.0,0.0,224.61903858184814,,,,,,,,,,,,,,,,,,,,,71.32745379771077,45.554140931634116,151.93080497718353,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2960.0,19.0,596.0,2960.0,0.1,325.4738000000018,0.0,0.0,281.88920640945435,,,,,,,,,,,,,,,,,,,,,140.1168575278268,74.12781489275844,242.44880808076874,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3038.0,20.0,78.0,3038.0,0.1,34.244799999999955,0.0,0.0,289.67625188827515,,,,,,,,,,,,,,,,,,,,,12.51160470985997,9.28758627122531,33.33553256222282,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,193.0,1.0,193.0,3231.0,0.1,80.02699999999986,0.0,0.0,947.5951864719391,,,,,,,,,,,,,,,,,,,,,33.26666805510983,21.850600740093746,73.75396724588833,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,584.0,2.0,391.0,3622.0,0.1,254.34680000000102,0.0,0.0,985.3671939373016,,,,,,,,,,,,,,,,,,,,,106.833917793426,64.1770861692578,213.00052619463355,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1236.0,3.0,652.0,4274.0,0.1,366.94539999999944,0.0,0.0,1048.130203962326,,,,,,,,,,,,,,,,,,,,,139.62970264411604,87.86754763738234,276.4594763692984,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1377.0,4.0,141.0,4415.0,0.1,65.64719999999991,0.0,0.0,1062.0198554992676,,,,,,,,,,,,,,,,,,,,,25.411864950730823,18.271238119633733,62.188441736979186,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1666.0,5.0,289.0,4704.0,0.1,184.3454000000005,0.0,0.0,1090.086338043213,,,,,,,,,,,,,,,,,,,,,76.04930117146685,49.77841745329267,162.6923740171064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1731.0,6.0,65.0,4769.0,0.1,29.805399999999985,0.0,0.0,1096.4347653388977,,,,,,,,,,,,,,,,,,,,,9.740819914979511,9.261357135748778,29.230678832512517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1819.0,7.0,88.0,4857.0,0.1,36.62519999999994,0.0,0.0,1105.1158678531647,,,,,,,,,,,,,,,,,,,,,13.07925387476816,9.736860470622604,35.54528067508992,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
