Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,956.0,17.0,41.0,956.0,0.1,22.00900000000001,0.0,0.0,88.56175875663757,,,,,,,,,,,,,,,,,,,,,4.752812911816537,9.642579579571656,21.85782846972651,-8.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1001.0,18.0,45.0,1001.0,0.1,28.007999999999996,0.0,0.0,93.37975549697876,,,,,,,,,,,,,,,,,,,,,8.19151450134263,11.255362866582667,27.694743639975894,-7.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1051.0,19.0,50.0,1051.0,0.1,37.005999999999986,0.0,0.0,98.89004278182983,,,,,,,,,,,,,,,,,,,,,13.935429172699301,13.355555823799708,36.381956071552075,-5.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1103.0,20.0,52.0,1103.0,0.1,15.018000000000017,0.0,0.0,104.48701357841492,,,,,,,,,,,,,,,,,,,,,-3.4246836001762726,9.522491959552955,15.226521363414628,-17.82996513560092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,65.0,1.0,65.0,1168.0,0.1,52.005999999999986,0.0,0.0,288.11214876174927,,,,,,,,,,,,,,,,,,,,,21.106711735826128,17.667031980049092,50.735483969626586,-5.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,95.0,2.0,30.0,1198.0,0.1,15.007000000000007,0.0,0.0,291.5118989944458,,,,,,,,,,,,,,,,,,,,,2.887447371667813,6.931445060399051,14.950262152893599,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,132.0,3.0,37.0,1235.0,0.1,18.00900000000001,0.0,0.0,295.4944181442261,,,,,,,,,,,,,,,,,,,,,2.9566004679433835,8.36917152896073,17.935458764756856,-8.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,173.0,4.0,41.0,1276.0,0.1,20.010000000000012,0.0,0.0,299.7751114368439,,,,,,,,,,,,,,,,,,,,,3.2165607275066375,9.246085711920902,19.917936966167602,-9.945164670461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,234.0,5.0,61.0,1337.0,0.1,48.005999999999986,0.0,0.0,305.8871932029724,,,,,,,,,,,,,,,,,,,,,19.195027176923638,16.530444625221588,46.92891424177697,-5.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,272.0,6.0,38.0,1375.0,0.1,23.00700000000001,0.0,0.0,309.84331226348877,,,,,,,,,,,,,,,,,,,,,6.564465986377194,9.448854415911098,22.80313375689771,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,309.0,7.0,37.0,1412.0,0.1,22.00700000000001,0.0,0.0,313.8826048374176,,,,,,,,,,,,,,,,,,,,,6.099172347545745,9.138913321195176,21.824958715613327,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,352.0,8.0,43.0,1455.0,0.1,24.009000000000007,0.0,0.0,318.42533349990845,,,,,,,,,,,,,,,,,,,,,5.662041525372986,10.272401344677956,23.813134670615526,-8.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,418.0,9.0,66.0,1521.0,0.1,51.006999999999984,0.0,0.0,325.25553011894226,,,,,,,,,,,,,,,,,,,,,19.819698708333075,17.7395599653471,49.79844698076457,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,500.0,10.0,82.0,1603.0,0.1,61.010000000000026,0.0,0.0,333.60754466056824,,,,,,,,,,,,,,,,,,,,,22.20211278052695,21.602118885032034,59.30798341083506,-9.945164670461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,594.0,11.0,94.0,1697.0,0.1,5.0439999999999765,0.0,0.0,343.1188633441925,,,,,,,,,,,,,,,,,,,,,-19.348840809538554,13.898634829557006,6.876537234027461,-43.02404221865911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,687.0,12.0,93.0,1790.0,0.1,38.02699999999998,0.0,0.0,352.5262951850891,,,,,,,,,,,,,,,,,,,,,9.405887292466344,13.590734474401492,37.22666859231668,-13.895453637998003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,754.0,13.0,67.0,1857.0,0.1,36.014999999999965,0.0,0.0,359.3367564678192,,,,,,,,,,,,,,,,,,,,,7.574711459785306,14.992849737894732,35.5786159855495,-11.922285286285286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
