Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2590.0,18.0,64.0,2590.0,0.1,37.58499999999998,0.0,0.0,217.6397545337677,,,,,,,,,,,,,,,,,,,,,15.35101664196207,12.326119551339643,36.67584995898244,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3127.0,19.0,537.0,3127.0,0.1,321.40560000000124,0.0,0.0,269.7325716018677,,,,,,,,,,,,,,,,,,,,,134.5911929069772,73.50568827973969,249.6291380559272,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3437.0,20.0,310.0,3437.0,0.1,185.92760000000033,0.0,0.0,299.534690618515,,,,,,,,,,,,,,,,,,,,,74.16996061157637,50.090128613136415,163.2612714921239,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,157.0,1.0,157.0,3594.0,0.1,101.58440000000006,0.0,0.0,965.0116555690765,,,,,,,,,,,,,,,,,,,,,42.554924281100405,27.765774362395394,95.09336853156181,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,289.0,2.0,132.0,3726.0,0.1,50.02819999999998,0.0,0.0,977.903119802475,,,,,,,,,,,,,,,,,,,,,14.527339747027032,14.476491856543158,48.20695686015588,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,646.0,3.0,357.0,4083.0,0.1,228.38780000000023,0.0,0.0,1013.4145936965942,,,,,,,,,,,,,,,,,,,,,102.02270987889037,60.85249427678884,192.35020062428413,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1011.0,4.0,365.0,4448.0,0.1,249.8476000000009,0.0,0.0,1049.6752972602844,,,,,,,,,,,,,,,,,,,,,108.0041075580876,66.87506487488444,210.84758506384068,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1323.0,5.0,312.0,4760.0,0.1,207.12540000000016,0.0,0.0,1080.479139328003,,,,,,,,,,,,,,,,,,,,,87.38901340061332,54.306068637621046,180.2202881750707,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1560.0,6.0,237.0,4997.0,0.1,162.50720000000027,0.0,0.0,1103.421320438385,,,,,,,,,,,,,,,,,,,,,70.6278279603796,44.512105481588726,146.06037947195443,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1709.0,7.0,149.0,5146.0,0.1,89.86540000000016,0.0,0.0,1118.619033575058,,,,,,,,,,,,,,,,,,,,,39.84876980006034,25.336752365996926,84.09604128632238,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1805.0,8.0,96.0,5242.0,0.1,57.385600000000004,0.0,0.0,1128.6784105300903,,,,,,,,,,,,,,,,,,,,,24.982916405353453,16.907205316191128,55.09737968708053,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1981.0,9.0,176.0,5418.0,0.1,112.64519999999996,0.0,0.0,1146.4314653873444,,,,,,,,,,,,,,,,,,,,,47.283582595546825,32.29284872262014,104.53224942979396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,2063.0,10.0,82.0,5500.0,0.1,55.60539999999995,0.0,0.0,1154.642813205719,,,,,,,,,,,,,,,,,,,,,23.865972267924306,17.633000055946756,53.7558482146112,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,2111.0,11.0,48.0,5548.0,0.1,25.66579999999999,0.0,0.0,1159.855593919754,,,,,,,,,,,,,,,,,,,,,8.727640114261915,8.585657650899988,25.297442862798167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,2277.0,12.0,166.0,5714.0,0.1,93.52559999999994,0.0,0.0,1176.1531093120575,,,,,,,,,,,,,,,,,,,,,41.85425783041828,26.89725025303747,86.75120886667507,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,2320.0,13.0,43.0,5757.0,0.1,19.566200000000002,0.0,0.0,1180.446807384491,,,,,,,,,,,,,,,,,,,,,6.261845740951652,6.58323028151247,19.33559248251162,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,2388.0,14.0,68.0,5825.0,0.1,40.38619999999998,0.0,0.0,1187.3165607452393,,,,,,,,,,,,,,,,,,,,,16.225472809353317,12.678516867026792,39.36155159059358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
