Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,182.0,1.0,182.0,182.0,0.1,89.7071999999999,0.0,0.0,0.008822917938232422,,,,,,,,,,,,,,,,,,,,,36.57928389332278,25.51849085187019,83.21611935400395,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,301.0,2.0,119.0,301.0,0.1,57.565399999999904,0.0,0.0,11.911770343780518,,,,,,,,,,,,,,,,,,,,,22.676948236464735,16.22383124472157,54.97674166645195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,547.0,3.0,246.0,547.0,0.1,129.2862000000001,0.0,0.0,35.8181369304657,,,,,,,,,,,,,,,,,,,,,54.94380143944744,35.7329789083617,116.00191266932191,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,764.0,4.0,217.0,764.0,0.1,123.50599999999982,0.0,0.0,57.11465525627136,,,,,,,,,,,,,,,,,,,,,58.15670508942043,34.14628900721313,111.10810008767115,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,904.0,5.0,140.0,904.0,0.1,69.50499999999988,0.0,0.0,70.7363350391388,,,,,,,,,,,,,,,,,,,,,27.006903316025863,19.883472650450763,65.8556790381537,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1143.0,6.0,239.0,1143.0,0.1,123.88520000000011,0.0,0.0,94.42938995361328,,,,,,,,,,,,,,,,,,,,,46.44032807427642,32.726362823324834,113.01187232302172,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1300.0,7.0,157.0,1300.0,0.1,77.36579999999996,0.0,0.0,110.14453172683716,,,,,,,,,,,,,,,,,,,,,31.074344040257255,22.627441606179932,72.63231999334633,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1377.0,8.0,77.0,1377.0,0.1,44.926199999999966,0.0,0.0,117.88295197486877,,,,,,,,,,,,,,,,,,,,,17.23157243375087,13.87663428034674,43.68669863316889,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1429.0,9.0,52.0,1429.0,0.1,22.366999999999994,0.0,0.0,123.17638278007507,,,,,,,,,,,,,,,,,,,,,6.529247716428686,7.284262416083058,22.071600247640745,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1609.0,10.0,180.0,1609.0,0.1,96.68539999999992,0.0,0.0,140.68606543540955,,,,,,,,,,,,,,,,,,,,,40.28895700669121,25.68992511985594,89.6125231726176,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
