Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,396.0,1.0,396.0,396.0,0.1,678.6872000000018,0.0,0.0,0.01001119613647461,,,,,,,,,,,,,,,,,,,,,288.9125121164525,162.7191307849857,565.4080959857606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,437.0,2.0,41.0,437.0,0.1,55.92600000000001,0.0,0.0,4.298681020736694,,,,,,,,,,,,,,,,,,,,,20.452345482771126,18.201643841490146,55.19779422586388,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,522.0,3.0,85.0,522.0,0.1,117.83020000000003,0.0,0.0,12.658026456832886,,,,,,,,,,,,,,,,,,,,,46.59856269780014,35.531090031008546,114.09740287904215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,733.0,4.0,211.0,733.0,0.1,333.78599999999994,0.0,0.0,33.16346287727356,,,,,,,,,,,,,,,,,,,,,151.6847333754512,92.19678417346744,302.38498885049205,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,860.0,5.0,127.0,860.0,0.1,215.4858000000001,0.0,0.0,45.58297896385193,,,,,,,,,,,,,,,,,,,,,90.97205590294837,63.87233446809667,204.34082621192326,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,922.0,6.0,62.0,922.0,0.1,84.98839999999996,0.0,0.0,51.81557035446167,,,,,,,,,,,,,,,,,,,,,30.922150562180082,26.941149087499852,83.23761866485586,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1085.0,7.0,163.0,1085.0,0.1,228.66580000000005,0.0,0.0,67.76254177093506,,,,,,,,,,,,,,,,,,,,,99.221978346538,61.745694800203474,212.91824109346013,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1189.0,8.0,104.0,1189.0,0.1,159.86420000000004,0.0,0.0,78.034339427948,,,,,,,,,,,,,,,,,,,,,68.62378995269712,44.74613849266309,153.03323929026075,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1234.0,9.0,45.0,1234.0,0.1,68.54439999999998,0.0,0.0,82.61360359191895,,,,,,,,,,,,,,,,,,,,,28.80922105317993,21.877587839042125,67.38268303599588,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1344.0,10.0,110.0,1344.0,0.1,173.9052,0.0,0.0,93.38578224182129,,,,,,,,,,,,,,,,,,,,,77.73021141654941,50.80917905550563,165.68608322454546,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
